store_id,zone,state,city,pincode,p1DC,status,format
TJ4V,North 1,Punjab,Dasua,,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
6429,South 2,Tamil Nadu,Thanjavur,613007,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
TN63,East,West Bengal,Darjeeling,734101,SLLN,OPERATIONAL,Digital
7731,West 1,Maharashtra,Nanded,431602,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
6387,South 1,Karnataka,Bangalore,560050,R396,OPERATIONAL,DIGITAL EXPRESS MINI
7791,West 2,Gujarat,Surat,394210,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
6928,West 2,Gujarat,Morvi,363642,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
TR16,South 1,Andhra Pradesh,Chirala,523157,S0UG,OPERATIONAL,DIGITAL EXPRESS MINI
6435,East,Odisha,Berhampur,760001,R201,OPERATIONAL,DIGITAL EXPRESS MINI
7900,East,Odisha,Bhubaneshwar,751012,R201,OPERATIONAL,DIGITAL EXPRESS MINI
TVL6,Central,Madhya Pradesh,Rewa,486001,SACU,OPERATIONAL,Digital
9594,North 1,Delhi NCR,Delhi,110018,SJ93,OPERATIONAL,Digital
TZZS,South 1,Karnataka,Doddaballapur,561203,R396,OPERATIONAL,Digital
7681,South 2,Tamil Nadu,Tiruppur,641601,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
6129,West 1,Maharashtra,Ambejogai,431517,V014,OPERATIONAL,DIGITAL EXPRESS MINI
TO89,East,West Bengal,Kolkata,700041,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
8762,North 1,Delhi NCR,Delhi,110028,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TGB2,East,West Bengal,Canning South,743329,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
TSE3,East,West Bengal,Kolkata,700047,SLKO,OPERATIONAL,Digital
TM06,North 2,Bihar,Patna,800006,R394,OPERATIONAL,DIGITAL EXPRESS MINI
3666,South 2,Tamil Nadu,Tindivanam,604001,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
T1RH,East,West Bengal,Kolkata,700144,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
7932,North 2,Uttar Pradesh,Varanasi,221010,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
TCR8,East,West Bengal,Kolkata,700035,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6312,South 1,Karnataka,Udupi,576101,R396,OPERATIONAL,DIGITAL EXPRESS MINI
8699,East,West Bengal,Kolkata,700120,SLKO,OPERATIONAL,Digital
7679,West 2,Rajasthan,Jaipur,302012,R810,OPERATIONAL,DIGITAL EXPRESS MINI
6278,South 2,Tamil Nadu,Chennai,603202,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
7834,South 2,Tamil Nadu,Coimbatore,641024,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
T24N,West,Maharashtra,Mumbai,400092,R696,OPERATIONAL,Digital
6302,West 2,Gujarat,Surat,395009,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
TOW1,West 1,Maharashtra,Mumbai,400097,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TFJ7,South 1,Karnataka,Bangalore,560072,R396,OPERATIONAL,DIGITAL EXPRESS MINI
T2UA,North 2,JHARKHAND,Dhanbad,,R278,OPERATIONAL,Digital
3672,West 2,Rajasthan,Nawalgarh,333042,R810,OPERATIONAL,DIGITAL EXPRESS MINI
7561,West 1,Maharashtra,Pune,411040,V014,OPERATIONAL,DIGITAL EXPRESS MINI
7625,North 1,Delhi NCR,Delhi,110088,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TPO8,East,West Bengal,Asansol,713303,SLKO,OPERATIONAL,Digital
