similargrouplevel,cluster_id,store_id
421001002,2,TN19
421001002,2,TLX4
421001002,2,TDW0
421001002,2,5783
421001002,2,TY55
421001002,2,TX4I
421001002,2,8065
421001002,2,5748
421001002,2,TKB6
421001002,2,T43D
421001002,2,TK76
421001002,2,9554
421001002,2,5823
421001002,2,T62V
421001002,2,TU29
421001002,2,TX6E
421001002,2,T9VG
421001002,2,T0N8
421001002,2,TTW0
421001002,2,TSO6
421001002,2,TGC9
421001002,2,TFS4
421001002,2,TPU6
421001002,2,TAV7
421001002,2,TX3S
421001002,2,TWOZ
421001002,2,TDE2
421001002,2,TX1X
421001002,2,8086
421001002,2,TFE5
421001002,2,T1DM
421001002,2,TDX6
421001002,2,T0AH
421001002,2,9574
421001002,2,8075
421001002,2,TY30
421001002,2,TX8I
421001002,2,TFA8
421001002,2,T866
421001002,2,TSM4
421001002,2,TMJ0
421001002,2,TPU3
421001002,2,TLJ6
421001002,2,TSQ5
421001002,2,FR2S
421001002,2,8063
421001002,2,TSS6
421001002,2,TX32
421001002,2,TIY1
421001002,2,T9CV
421001002,2,T1RA
421001002,2,TCO8
421001002,2,TCN5
421001002,2,TW64
421001002,2,TSR2
421001002,2,TPO7
421001002,2,8134
421001002,2,TLS1
421001002,2,TK51
421001002,2,TAL3
421001002,2,T1OG
421001002,2,TWVU
421001002,2,T529
421001002,2,TW88
421001002,2,TPK8
421001002,2,5780
421001002,2,T88N
421001002,2,TY6I
421001002,2,TN06
421001002,2,9673
421001002,2,8131
421001002,2,TX3R
421001002,2,TU20
421001002,2,TSV6
421001002,2,TX01
421001002,2,TN21
421001002,2,TH31
421001002,2,TP64
421001002,2,T35G
421001002,2,T9RF
421001002,2,TQ23
421001002,2,TKN5
421001002,2,TJE2
421001002,2,TIR1
421001002,2,TEZ0
421001002,2,TZVD
421001002,2,TLH3
421001002,2,5694
421001002,2,TX72
421001002,2,TX4K
421001002,2,TSQ6
421001002,2,T33J
421001002,2,TLR4
421001002,2,TJX6
421001002,2,T542
421001002,2,T527
421001002,2,TX6P
421001002,2,8138
421001002,2,8379
421001002,2,TW61
421001002,2,TAB5
421001002,2,TY6E
421001002,2,TW37
421001002,2,TA75
421001002,2,TX3M
421001002,2,TX6F
421001002,2,TMG4
421001002,2,TX6M
421001002,2,F1TB
421001002,2,TWQM
421001002,2,TQ24
421001002,2,TL95
421001002,2,TDE7
421001002,2,TZ56
421001002,2,TWQJ
421001002,2,8106
421001002,2,TE90
421001002,2,TP72
421001002,2,TM07
421001002,2,TG69
421001002,2,1883
421001002,2,TX3O
421001002,2,SZ9H
421001002,2,TX06
421001002,2,FRZ7
421001002,2,TZ96
421001002,2,TAPM
421001002,2,TWUO
421001002,2,T89E
421001002,2,TY29
421001002,2,8081
421001002,2,TLU6
421001002,2,TX44
421001002,2,TM14
421001002,2,TKA4
421001002,2,TW91
421001002,2,T17V
421001002,2,TDC8
421001002,2,T0IA
421001002,2,T0HZ
421001002,2,TXXF
421001002,2,TK78
421001002,2,TWVZ
